stop_id,stop_count,lat,lon
"40352","4",-117.053770,33.018864
"75089","480",-117.159720,32.716724
"12325","69",-117.236206,32.784748
"13023","84",-117.029320,32.716152
"60078","130",-117.105230,32.583714
"12702","136",-117.184160,32.823330
"11238","217",-117.163345,32.791412
"98036","2",-116.744540,33.066227
"12389","219",-117.173256,32.717010
"98062","1",-116.288216,32.668580
"11698","27",-117.126780,32.819553
utc,"0",-117.212760,32.868880
"11766","30",-117.073780,32.713860
"99867","86",-117.216370,32.739470
"60278","92",-117.114365,32.580425
"99448","78",-117.180410,32.820026
"10449","219",-117.172490,32.715600
"10517","112",-117.139700,32.755142
"75057","211",-117.119710,32.781025
"11266","105",-117.144030,32.762560
"60597","167",-117.043080,32.549976
"40847","32",-116.958664,32.817287
"41167","34",-116.982124,32.862427
"98132","5",-116.908970,32.727770
"99255","60",-117.002660,32.707645
"10578","118",-117.111830,32.711384
"12236","29",-117.043040,32.733128
"40400","13",-116.996500,32.838802
"12338","86",-117.223720,32.730873
"98022","2",-116.881190,33.034573
"40617","74",-117.014305,32.724580
"13449","61",-117.077720,32.980550
"10363","80",-117.245964,32.798557
"39056","91",-116.995224,32.624060
"11015","79",-117.082560,32.705833
"40442","63",-116.958580,32.800983
"12280","153",-117.252420,32.780342
"92209","126",-116.975750,32.792340
"11976","124",-117.177635,32.810450
"13353","141",-117.181290,32.743034
"22726","4",-116.881190,33.035740
"50034","15",-117.095040,32.682945
"11407","79",-117.071434,32.709156
arnS,"0",-116.975720,32.804615
"99481","75",-117.109480,32.749546
"40846","56",-116.961075,32.731335
"60137","217",-117.112870,32.576656
"12814","108",-117.138740,32.760826
baltro,"0",-117.213680,32.805706
hazS,"0",-117.158300,32.770250
"12913","131",-117.079254,32.750107
"75005","300",-117.066960,32.569515
"77787","428",-117.214010,32.869205
"30467","71",-117.068890,32.597206
"11966","135",-117.187515,32.824900
"11009","98",-117.085840,32.770280
"98998","25",-116.995160,32.640972
"10238","287",-117.093520,32.749474
"50027","98",-117.101000,32.662098
"60811","63",-117.061360,32.676117
"40362","4",-117.037510,33.018750
"99335","15",-116.937935,32.558514
"10203","90",-117.114780,32.704803
"60440","165",-117.036170,32.550007
"40973","43",-116.759650,32.835090
"40282","56",-116.991940,32.748150
"41258","97",-116.947876,32.794857
"11606","136",-117.175354,32.773937
"60731","72",-117.047104,32.670532
"90002","60",-117.198120,32.732000
"13056","14",-117.031550,32.779537
"11244","127",-117.161000,32.807840
"12073","54",-117.144050,32.912110
"41275","97",-116.942530,32.795067
"40733","167",-116.970900,32.800186
"60191","133",-117.080390,32.584026
"50043","171",-117.082634,32.678060
"10106","475",-117.155464,32.748318
citcol,"0",-117.153940,32.715820
"98554","8",-117.175224,32.888138
"94005","38",-117.056540,32.741570
"60735","72",-117.057180,32.666298
"10485","107",-117.153300,32.768192
"60246","164",-117.048035,32.553967
"11010","114",-117.085556,32.757080
"99299","13",-117.099380,32.790700
"60632","49",-117.095690,32.732304
"10476","138",-117.160030,32.801720
"94030","120",-117.199230,32.754486
"12565","150",-117.061070,32.581726
"75020","320",-116.981130,32.841557
"10368","137",-117.241790,32.869972
"10503","258",-117.143680,32.711464
"11788","158",-117.055786,32.575810
"60389","88",-117.144480,32.641304
"11367","85",-117.101845,32.704290
"12406","11",-117.168160,32.722300
"11473","78",-117.016830,32.714874
"40343","28",-117.090590,32.946556
"10496","12",-117.148100,32.809475
"30240","183",-117.066120,32.637610
"10970","265",-117.103745,32.749725
"10204","112",-117.113860,32.755100
"88913","28",-117.040240,32.959923
"41118","14",-117.006730,32.730700
"99263","21",-117.131980,32.770780
"12893","456",-117.084870,32.708490
"60317","115",-117.177780,32.682255
"60730","72",-117.044020,32.671810
"99398","108",-117.064670,32.655610
"11021","377",-117.078370,32.748627
"11005","216",-117.089940,32.749645
voiS,"0",-117.223526,32.881850
"13312","807",-117.160050,32.715767
"40938","41",-116.891890,32.840736
"60703","28",-117.143720,32.916042
"91033","70",-117.086140,32.709960
"10220","158",-117.106180,32.696026
"30146","13",-117.002930,32.646720
"75054","211",-117.127235,32.778270
"98127","4",-116.870926,32.714447
"60444","318",-117.115960,32.576458
"60359","165",-117.062004,32.566920
"40937","41",-116.894035,32.839920
"30220","54",-117.090034,32.642384
"10404","28",-117.214990,32.850952
"98509","8",-117.207245,32.900580
"13432","131",-117.102530,32.691400
"12999","60",-117.171580,32.759630
"10333","98",-117.008510,32.770424
"11145","27",-117.226006,32.728870
"13486","79",-117.028600,32.711460
"11138","27",-117.231390,32.741722
"11868","12",-117.245590,32.722520
"40395","74",-117.002410,32.707880
"10360","293",-117.250900,32.795425
"50031","171",-117.097070,32.676594
"40893","34",-116.976715,32.866028
"11256","261",-117.152210,32.711660
"40417","66",-116.973915,32.838634
"40109","28",-117.089770,32.946148
"10507","104",-117.143510,32.762413
"10279","45",-117.063160,33.018543
sprS,"0",-117.017456,32.756850
utcS,"0",-117.214040,32.869210
"60163","180",-117.174290,32.696130
"99478","138",-117.163500,32.804245
"12451","150",-117.146355,32.698997
"13065","228",-117.184080,32.728706
"60291","115",-117.092064,32.637333
"12299","12",-117.246390,32.718910
"98065","1",-116.297020,32.668312
"10256","13",-117.081550,32.792800
"99258","60",-117.020050,32.744858
"40398","56",-116.998330,32.750732
"40993","165",-116.942180,32.744140
"99051","94",-117.026750,32.614605
"10612","112",-117.100400,32.755005
"98070","2",-116.354940,32.702564
"41057","13",-117.007620,32.849570
